127.0.0.1 - - [16/Dec/2023:15:39:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Dec/2023:15:39:23 +0530] "GET /JSP/jsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2023:15:39:24 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Dec/2023:15:39:30 +0530] "GET /JSP/savedata.jsp?id=&name=&age= HTTP/1.1" 500 2652
0:0:0:0:0:0:0:1 - - [16/Dec/2023:15:39:47 +0530] "GET /JSP/savedata.jsp?id=&name=&age= HTTP/1.1" 500 2652
0:0:0:0:0:0:0:1 - - [16/Dec/2023:15:40:47 +0530] "GET /JSP/savedata.jsp?id=5&name=sudhi&age=21 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [16/Dec/2023:15:41:36 +0530] "GET /JSP/savedata.jsp?id=5&v%20%20%20%20%20%20%20=sudhi&age=21 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:50:06 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 500 3211
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:50:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:50:41 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 500 7605
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:51:18 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:52:09 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:52:09 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:52:09 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:52:10 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:52:10 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:52:23 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:52:23 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:52:23 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:01 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:01 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:02 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:02 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:12 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:13 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:13 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:22 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:23 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:43 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [16/Dec/2023:16:53:57 +0530] "GET /JSP/fetchdata.jsp HTTP/1.1" 200 2493
